PARAMETER	Scott	Name	Units	Description
WpoolMax	50	WpoolMax	mm	Maximum pool water (liquid plus ice)
Dparam	0.0031796	Dparam	°C-1 d-1	Constant in the calculation of dehardening rate
FGAS	0.4	FGAS	-	Fraction of soil volume that is gaseous
FO2MX	0.21	FO2MX	mol O2 mol-1 gas	Maximum oxygen fraction of soil gas
KTSNOW	65	gamma	m-1	Temperature extinction coefficient of snow
Hparam	0.0055925	Hparam	°C-1 d-1	Hardening parameter
KRDRANAER	0.2	KRDRANAER	d-1	Maximum relative death rate due to anearobic conditions
KRESPHARD	0.1	KRESPHARD	gC gC-1 °C-1	Carbohydrate requirement of hardening
KRSR3H	1	KRSR3H	°C-1	Constant in the logistic curve for frost survival
KRTOTAER	2	KRTOTAER	-	Ratio of total to aerobic respiration
KSNOW	0.035	KSNOW	mm-1	Light extinction coefficient of snow
LAMBDAsoil	172800	LAMBDAsoil	J m-1 degC-1 d-1	Thermal conductivity of soil?
LDT50A	1.3403	LDT50A	d	Intercept of linear dependence of LD50 on lT50
LDT50B	-2.1128	LDT50B	d °C-1	Slope of linear dependence of LD50 on LT50
LT50MN	-26.6839	LT50MN	°C	Minimum LT50 (Lethal temperature at which 50% die)
LT50MX	-4.7894	LT50MX	°C	Maximum LT50
RATEDMX	2	RATEDMX	°C d-1	Maximum dehardening rate
reHardRedDay	145	reHardRedDay	d	Duration of period over which rehardening capability disappears
RHOnewSnow	100	RHOnewSnow	kg SWE m-3	Density of newly fallen snow
RHOpack	0.02	RHOpack	d-1	Relative packing rate of snow
SWret	0.1	SWret	mm mm-1 d-1	Liquid water storage capacity of snow
SWrf	0.01	SWrf	mm d-1 °C-1	Maximum refreezing rate per degree below 'TmeltFreeze'
THARDMX	14.7052	THARDMX	°C	Maximum surface temperature at which hardening is possible
TmeltFreeze	0	TmeltFreeze	°C	Temperature above which snow melts
TrainSnow	0.01	TrainSnow	°C	Temperature below which precipitation is snow
TsurfDiff	0.62279	TsurfDiff	°C	Constant in the calculation of dehardening rate
KLUETILG	0.5	KLUETILG	-	LUE-increase with increasing fraction elongating tillers
FRTILGG1I	0.5	FRTILGG1I	-	Initial fraction of generative tillers that is still in stage 1 
DAYLG1G2	0.6	DAYLG1G2	d d-1	Minimum day length above which generative tillers can start elongating
RGRTG1G2	0.9	RGRTG1G2	d-1	Relative rate of TILG1 becoming TILG2
RDRTMIN	0.01	RDRTMIN	d-1	Minimum relative death rate of foliage
TVERN	7	TVERN	°C	Temperature below which vernlisation occurs
