row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3	ModePrior_4	MAP_4	MaxL_4	MeanPost_4	VarPost_4	CVPost_4	MinPost_4	MaxPost_4	ModePrior_5	MAP_5	MaxL_5	MeanPost_5	VarPost_5	CVPost_5	MinPost_5	MaxPost_5	ModePrior_6	MAP_6	MaxL_6	MeanPost_6	VarPost_6	CVPost_6	MinPost_6	MaxPost_6	ModePrior_7	MAP_7	MaxL_7	MeanPost_7	VarPost_7	CVPost_7	MinPost_7	MaxPost_7	ModePrior_8	MAP_8	MaxL_8	MeanPost_8	VarPost_8	CVPost_8	MinPost_8	MaxPost_8	ModePrior_9	MAP_9	MaxL_9	MeanPost_9	VarPost_9	CVPost_9	MinPost_9	MaxPost_9
COCRESMX	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464	0.275	0.2684	0.2355	0.255	0.001638	0.1587	0.09829	0.3464
CSTAVM	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882	0.1	0.1021	0.1336	0.1076	0.0007931	0.2618	0.03197	0.1882
DAYLB	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807	0.4	0.4506	0.417	0.4064	0.005515	0.1827	0.06258	0.5807
DAYLP	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692	0.55	0.5618	0.4786	0.5806	0.007513	0.1493	0.4004	0.8692
DLMXGE	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296	0.6	0.6444	0.7905	0.6467	0.007382	0.1329	0.4356	0.9296
FSLAMIN	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872	0.5	0.5775	0.6638	0.5946	0.004492	0.1127	0.4053	0.872
FSMAX	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833	0.7	0.7451	0.7182	0.698	0.0008933	0.04282	0.6006	0.7833
HAGERE	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985	0.8	0.8629	0.7645	0.7902	0.001759	0.05307	0.6654	0.8985
KLAI	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935	0.6	0.6172	0.6755	0.6086	0.009099	0.1567	0.3199	0.8935
LAICR	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808	4	3.441	4.456	3.746	0.5334	0.195	2.041	5.808
LAIEFT	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744	0.183	0.2699	0.2582	0.2342	0.002398	0.2091	0.1036	0.3744
LAITIL	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982	0.867	0.7535	0.7359	0.772	0.0086	0.1201	0.5097	0.9982
LFWIDG	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032	0.003	0.005095	0.004303	0.004393	1.104e-06	0.2392	0.002055	0.009032
LFWIDV	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512	0.003	0.003143	0.002538	0.003108	1.954e-07	0.1422	0.002038	0.004512
NELLVM	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3
PHENCR	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726	0.6	0.7093	0.5887	0.6426	0.01493	0.1901	0.2273	0.9726
PHY	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5	100	113.7	122.8	111	112.5	0.09552	67.29	129.5
RDRSCO	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023	0.03	0.03546	0.04519	0.05098	0.0003647	0.3746	0.01013	0.1023
RDRSMX	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186	0.04	0.05806	0.06216	0.05852	0.0002132	0.2495	0.03051	0.1186
RDRTEM	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981	0.0015	0.001614	0.001243	0.001481	5.785e-08	0.1624	0.0006315	0.001981
RGENMX	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973	0.01	0.01249	0.01533	0.01373	7.118e-06	0.1943	0.003045	0.01973
ROOTDM	0.2	0.1934	0.2413	0.2342	0.00329	0.2449	0.1041	0.4803	0.2	0.1934	0.2413	0.2342	0.00329	0.2449	0.1041	0.4803	0.2	0.1934	0.2413	0.2342	0.00329	0.2449	0.1041	0.4803	0.2	0.2479	0.2933	0.266	0.003977	0.2371	0.1039	0.548	0.2	0.2479	0.2933	0.266	0.003977	0.2371	0.1039	0.548	0.2	0.2479	0.2933	0.266	0.003977	0.2371	0.1039	0.548	0.2	0.3173	0.3461	0.2738	0.004555	0.2465	0.1045	0.5031	0.2	0.3173	0.3461	0.2738	0.004555	0.2465	0.1045	0.5031	0.2	0.3173	0.3461	0.2738	0.004555	0.2465	0.1045	0.5031
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401	2.7	5.641	5.964	5.084	1.021	0.1987	1.393	8.401
LSHAPE	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6
SIMAX1T	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831	0.004	0.003736	0.003507	0.004043	4.752e-07	0.1705	0.002192	0.005831
SLAMAX	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935	0.03	0.03603	0.03787	0.03856	1.631e-05	0.1047	0.02286	0.04935
TBASE	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9	4.5	4.811	3.894	4.518	0.291	0.1194	2.588	5.9
TCRES	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225	2	1.87	1.873	1.89	0.0594	0.1289	1.509	3.225
TOPTGE	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83	22	19.19	18.86	20.25	7.048	0.1311	12.74	29.83
TRANCO	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76	8	7.332	9.232	8.443	3.366	0.2173	4.33	13.76
