row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
DAYLB	0.4	0.4385	0.315	0.406	0.008298	0.2244	0.07817	0.5945	0.4	0.4385	0.315	0.406	0.008298	0.2244	0.07817	0.5945	0.4	0.4385	0.315	0.406	0.008298	0.2244	0.07817	0.5945
DAYLP	0.55	0.5622	0.5756	0.594	0.007596	0.1467	0.4057	0.8824	0.55	0.5622	0.5756	0.594	0.007596	0.1467	0.4057	0.8824	0.55	0.5622	0.5756	0.594	0.007596	0.1467	0.4057	0.8824
DLMXGE	0.6	0.6026	0.6859	0.65	0.008614	0.1428	0.4162	0.9205	0.6	0.6026	0.6859	0.65	0.008614	0.1428	0.4162	0.9205	0.6	0.6026	0.6859	0.65	0.008614	0.1428	0.4162	0.9205
FSLAMIN	0.5	0.6664	0.6015	0.6401	0.007102	0.1317	0.4128	0.8382	0.5	0.6664	0.6015	0.6401	0.007102	0.1317	0.4128	0.8382	0.5	0.6664	0.6015	0.6401	0.007102	0.1317	0.4128	0.8382
FSMAX	0.7	0.6031	0.6089	0.5719	0.009033	0.1662	0.3373	0.7895	0.7	0.6031	0.6089	0.5719	0.009033	0.1662	0.3373	0.7895	0.7	0.6031	0.6089	0.5719	0.009033	0.1662	0.3373	0.7895
HAGERE	0.8	0.7663	0.8408	0.7884	0.002631	0.06506	0.6273	0.8904	0.8	0.7663	0.8408	0.7884	0.002631	0.06506	0.6273	0.8904	0.8	0.7663	0.8408	0.7884	0.002631	0.06506	0.6273	0.8904
KLAI	0.6	0.785	0.8112	0.7668	0.003124	0.07289	0.5817	0.8889	0.6	0.785	0.8112	0.7668	0.003124	0.07289	0.5817	0.8889	0.6	0.785	0.8112	0.7668	0.003124	0.07289	0.5817	0.8889
LAICR	2	3.311	3.016	3.622	1.207	0.3033	0.1436	6.594	2	3.311	3.016	3.622	1.207	0.3033	0.1436	6.594	2	3.311	3.016	3.622	1.207	0.3033	0.1436	6.594
LAIEFT	0.183	0.183	0.183	0.183	0	0	0.183	0.183	0.183	0.183	0.183	0.183	0	0	0.183	0.183	0.183	0.183	0.183	0.183	0	0	0.183	0.183
LAITIL	1	0.2897	0.1319	0.3312	0.02407	0.4684	0.01052	0.8364	1	0.2897	0.1319	0.3312	0.02407	0.4684	0.01052	0.8364	1	0.2897	0.1319	0.3312	0.02407	0.4684	0.01052	0.8364
LFWIDG	0.003	0.00389	0.0063	0.004196	1.498e-06	0.2916	0.002047	0.008484	0.003	0.00389	0.0063	0.004196	1.498e-06	0.2916	0.002047	0.008484	0.003	0.00389	0.0063	0.004196	1.498e-06	0.2916	0.002047	0.008484
LFWIDV	0.003	0.002606	0.003452	0.003095	1.936e-07	0.1422	0.002071	0.004576	0.003	0.002606	0.003452	0.003095	1.936e-07	0.1422	0.002071	0.004576	0.003	0.002606	0.003452	0.003095	1.936e-07	0.1422	0.002071	0.004576
NELLVM	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3
PHENCR	0.6	0.7699	0.3841	0.5833	0.01726	0.2252	0.2899	0.9241	0.6	0.7699	0.3841	0.5833	0.01726	0.2252	0.2899	0.9241	0.6	0.7699	0.3841	0.5833	0.01726	0.2252	0.2899	0.9241
PHY	100	106.1	91.91	116.3	175.7	0.114	66.2	147.2	100	106.1	91.91	116.3	175.7	0.114	66.2	147.2	100	106.1	91.91	116.3	175.7	0.114	66.2	147.2
RDRSCO	0.1074	0.1074	0.1074	0.1074	0	0	0.1074	0.1074	0.1074	0.1074	0.1074	0.1074	0	0	0.1074	0.1074	0.1074	0.1074	0.1074	0.1074	0	0	0.1074	0.1074
RDRSMX	0.01	0.009526	0.01422	0.01688	0.0001304	0.6767	0.0003319	0.06818	0.01	0.009526	0.01422	0.01688	0.0001304	0.6767	0.0003319	0.06818	0.01	0.009526	0.01422	0.01688	0.0001304	0.6767	0.0003319	0.06818
RDRTEM	0.001	0.001161	0.00146	0.001162	9.592e-08	0.2665	7.312e-06	0.001891	0.001	0.001161	0.00146	0.001162	9.592e-08	0.2665	7.312e-06	0.001891	0.001	0.001161	0.00146	0.001162	9.592e-08	0.2665	7.312e-06	0.001891
RGENMX	0.01	0.00707	0.008959	0.007318	4.572e-06	0.2922	0.001943	0.01418	0.01	0.00707	0.008959	0.007318	4.572e-06	0.2922	0.001943	0.01418	0.01	0.00707	0.008959	0.007318	4.572e-06	0.2922	0.001943	0.01418
ROOTDM	0.2	0.2655	0.3242	0.287	0.003033	0.1919	0.1508	0.4756	0.2	0.2655	0.3242	0.287	0.003033	0.1919	0.1508	0.4756	0.2	0.2655	0.3242	0.287	0.003033	0.1919	0.1508	0.4756
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	2.686	3.478	2.85	0.1899	0.1529	1.853	4.239	2.7	2.686	3.478	2.85	0.1899	0.1529	1.853	4.239	2.7	2.686	3.478	2.85	0.1899	0.1529	1.853	4.239
LSHAPE	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6
SIMAX1T	0.004	0.003371	0.002623	0.00377	5.186e-07	0.191	0.00212	0.005735	0.004	0.003371	0.002623	0.00377	5.186e-07	0.191	0.00212	0.005735	0.004	0.003371	0.002623	0.00377	5.186e-07	0.191	0.00212	0.005735
SLAMAX	0.03	0.0487	0.04835	0.04882	1.561e-05	0.08094	0.03477	0.05889	0.03	0.0487	0.04835	0.04882	1.561e-05	0.08094	0.03477	0.05889	0.03	0.0487	0.04835	0.04882	1.561e-05	0.08094	0.03477	0.05889
TBASE	4.5	4.909	4.32	4.51	0.3799	0.1367	2.436	5.989	4.5	4.909	4.32	4.51	0.3799	0.1367	2.436	5.989	4.5	4.909	4.32	4.51	0.3799	0.1367	2.436	5.989
TCRES	2	1.904	2.216	1.94	0.2758	0.2707	1.009	3.455	2	1.904	2.216	1.94	0.2758	0.2707	1.009	3.455	2	1.904	2.216	1.94	0.2758	0.2707	1.009	3.455
TOPTGE	22	17.6	20.76	21.83	13.4	0.1676	10.39	29.27	22	17.6	20.76	21.83	13.4	0.1676	10.39	29.27	22	17.6	20.76	21.83	13.4	0.1676	10.39	29.27
TRANCO	8	10.87	6.469	8.154	3.748	0.2374	4.248	14.72	8	10.87	6.469	8.154	3.748	0.2374	4.248	14.72	8	10.87	6.469	8.154	3.748	0.2374	4.248	14.72
YG	0.64	0.6408	0.5424	0.6556	0.004025	0.09677	0.5083	0.861	0.64	0.6408	0.5424	0.6556	0.004025	0.09677	0.5083	0.861	0.64	0.6408	0.5424	0.6556	0.004025	0.09677	0.5083	0.861
LAT	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77	-43.64	-43.64	-43.64	-43.64	0	0	-43.64	-43.64
WCI	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3
FWCAD	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05
FWCWP	0.3	0.3174	0.2936	0.3187	0.002149	0.1455	0.1827	0.4477	0.3	0.3277	0.2912	0.3062	0.002193	0.1529	0.1483	0.4362	0.3	0.1961	0.2193	0.2392	0.00199	0.1864	0.1237	0.3594
FWCFC	0.6	0.6298	0.6015	0.6181	0.002805	0.08568	0.4119	0.7983	0.6	0.7744	0.8009	0.7327	0.00375	0.08358	0.5313	0.9043	0.6	0.6809	0.6259	0.6438	0.001846	0.06673	0.4926	0.772
FWCWET	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95
WCST	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55
WpoolMax	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
Dparam	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318
FGAS	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4
FO2MX	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21
KTSNOW	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65
Hparam	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592
KRDRANAER	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
KRESPHARD	0.01	0.01363	0.009302	0.01056	3.346e-05	0.5475	0.00127	0.0322	0.01	0.01363	0.009302	0.01056	3.346e-05	0.5475	0.00127	0.0322	0.01	0.01363	0.009302	0.01056	3.346e-05	0.5475	0.00127	0.0322
KRSR3H	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
KRTOTAER	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
KSNOW	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800
LDT50A	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34
LDT50B	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113
LT50MN	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68
LT50MX	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
RATEDMX	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
reHardRedDay	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145
RHOnewSnow	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100
RHOpack	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
THARDMX	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71
TmeltFreeze	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrainSnow	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TsurfDiff	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228
KLUETILG	0.5	0.5725	0.7013	0.4744	0.02977	0.3637	0.04147	0.9181	0.5	0.5725	0.7013	0.4744	0.02977	0.3637	0.04147	0.9181	0.5	0.5725	0.7013	0.4744	0.02977	0.3637	0.04147	0.9181
FRTILGG1I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAYLG1G2	0.575	0.5594	0.5637	0.5712	6.253e-05	0.01384	0.5517	0.5938	0.575	0.5594	0.5637	0.5712	6.253e-05	0.01384	0.5517	0.5938	0.575	0.5594	0.5637	0.5712	6.253e-05	0.01384	0.5517	0.5938
RGRTG1G2	0.05	0.04012	0.05297	0.03986	0.0002161	0.3688	0.007331	0.08842	0.05	0.04012	0.05297	0.03986	0.0002161	0.3688	0.007331	0.08842	0.05	0.04012	0.05297	0.03986	0.0002161	0.3688	0.007331	0.08842
RDRTMIN	0.01	0.004714	0.007202	0.005645	1.245e-05	0.625	2.82e-05	0.01769	0.01	0.004714	0.007202	0.005645	1.245e-05	0.625	2.82e-05	0.01769	0.01	0.004714	0.007202	0.005645	1.245e-05	0.625	2.82e-05	0.01769
TVERN	4	3.587	5.316	4.309	0.4337	0.1528	3.037	7.442	4	3.587	5.316	4.309	0.4337	0.1528	3.037	7.442	4	3.587	5.316	4.309	0.4337	0.1528	3.037	7.442
TVERND	21	18.87	21.12	21.05	5.718	0.1136	14.87	27.35	21	18.87	21.12	21.05	5.718	0.1136	14.87	27.35	21	18.87	21.12	21.05	5.718	0.1136	14.87	27.35
RDRSTUB	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
LERGB	1.75	1.377	2.011	1.848	0.2064	0.2458	0.2823	2.909	1.75	1.377	2.011	1.848	0.2064	0.2458	0.2823	2.909	1.75	1.377	2.011	1.848	0.2064	0.2458	0.2823	2.909
RDRROOT	0.003	0.002989	0.002227	0.003153	4.641e-07	0.2161	0.001161	0.004684	0.003	0.002989	0.002227	0.003153	4.641e-07	0.2161	0.001161	0.004684	0.003	0.002989	0.002227	0.003153	4.641e-07	0.2161	0.001161	0.004684
DAYLA	0.5	0.5238	0.4268	0.4827	0.001048	0.06707	0.4063	0.5876	0.5	0.5238	0.4268	0.4827	0.001048	0.06707	0.4063	0.5876	0.5	0.5238	0.4268	0.4827	0.001048	0.06707	0.4063	0.5876
DAYLRV	0.55	0.5269	0.4982	0.5307	0.0008288	0.05425	0.4479	0.596	0.55	0.5269	0.4982	0.5307	0.0008288	0.05425	0.4479	0.596	0.55	0.5269	0.4982	0.5307	0.0008288	0.05425	0.4479	0.596
FCOCRESMN	0.5	0.3385	0.5266	0.3868	0.01519	0.3187	0.1172	0.7653	0.5	0.3385	0.5266	0.3868	0.01519	0.3187	0.1172	0.7653	0.5	0.3385	0.5266	0.3868	0.01519	0.3187	0.1172	0.7653
KCRT	10	11.03	20.33	16.49	97.09	0.5977	1.043	54.22	10	11.03	20.33	16.49	97.09	0.5977	1.043	54.22	10	11.03	20.33	16.49	97.09	0.5977	1.043	54.22
VERNDI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LERVA	-1.13	-5.106	-4.351	-4.756	3.872	0.4137	-10.64	0.5435	-1.13	-5.106	-4.351	-4.756	3.872	0.4137	-10.64	0.5435	-1.13	-5.106	-4.351	-4.756	3.872	0.4137	-10.64	0.5435
LERVB	0.75	1.059	0.9419	0.9934	0.06303	0.2527	0.3382	1.672	0.75	1.059	0.9419	0.9934	0.06303	0.2527	0.3382	1.672	0.75	1.059	0.9419	0.9934	0.06303	0.2527	0.3382	1.672
LERGA	-8.21	-5.432	-9.359	-7.02	10.61	0.4639	-14.58	2.355	-8.21	-5.432	-9.359	-7.02	10.61	0.4639	-14.58	2.355	-8.21	-5.432	-9.359	-7.02	10.61	0.4639	-14.58	2.355
RDRTILMIN	1e-04	0.0001206	8.698e-05	0.0002224	2.34e-08	0.6879	4.847e-07	0.000704	1e-04	0.0001206	8.698e-05	0.0002224	2.34e-08	0.6879	4.847e-07	0.000704	1e-04	0.0001206	8.698e-05	0.0002224	2.34e-08	0.6879	4.847e-07	0.000704
RDRHARVMAX	0.05	0.05845	0.04563	0.05379	0.0003221	0.3337	0.008387	0.09824	0.05	0.05845	0.04563	0.05379	0.0003221	0.3337	0.008387	0.09824	0.05	0.05845	0.04563	0.05379	0.0003221	0.3337	0.008387	0.09824
FGRESSI	0.5	0.2748	0.2233	0.4123	0.01159	0.2611	0.2112	0.7547	0.5	0.2748	0.2233	0.4123	0.01159	0.2611	0.2112	0.7547	0.5	0.2748	0.2233	0.4123	0.01159	0.2611	0.2112	0.7547
BD	1.2	1.193	1.32	1.197	0.007843	0.07401	0.9155	1.383	1.2	1.065	1.111	1.177	0.007769	0.07487	0.9161	1.382	1.2	1.132	1.23	1.167	0.007169	0.07257	0.9378	1.383
HARVFRD	0.2	0.2603	0.21	0.2264	0.002742	0.2313	0.1041	0.3667	0.2	0.2603	0.21	0.2264	0.002742	0.2313	0.1041	0.3667	0.2	0.2603	0.21	0.2264	0.002742	0.2313	0.1041	0.3667
EBIOMAX	131	131	131	131	0	0	131	131	131	131	131	131	0	0	131	131	131	131	131	131	0	0	131	131
KBASAL	3	3.398	3.202	3.367	0.2533	0.1495	1.953	4.733	3	3.398	3.202	3.367	0.2533	0.1495	1.953	4.733	3	3.398	3.202	3.367	0.2533	0.1495	1.953	4.733
RDRWMAX	0.05	0.03368	0.0465	0.03122	8.599e-05	0.297	0.01328	0.06043	0.05	0.03368	0.0465	0.03122	8.599e-05	0.297	0.01328	0.06043	0.05	0.03368	0.0465	0.03122	8.599e-05	0.297	0.01328	0.06043
BASALI	0.9	0.9022	0.8	0.8046	0.006319	0.0988	0.5767	0.9958	0.9	0.8882	0.8736	0.8833	0.003192	0.06396	0.7213	0.9987	0.9	0.9431	0.9485	0.8946	0.002752	0.05864	0.7342	0.9994
ABASAL	0.003	0.001509	0.001334	0.002101	3.647e-07	0.2874	0.001068	0.004541	0.003	0.001509	0.001334	0.002101	3.647e-07	0.2874	0.001068	0.004541	0.003	0.001509	0.001334	0.002101	3.647e-07	0.2874	0.001068	0.004541
TVERNDMN	7	7.358	11.8	5.984	6.546	0.4276	0.4177	13.02	7	7.358	11.8	5.984	6.546	0.4276	0.4177	13.02	7	7.358	11.8	5.984	6.546	0.4276	0.4177	13.02
DAYLGEMN	0.5	0.4068	0.3154	0.4976	0.0273	0.3321	0.06654	0.9742	0.5	0.4068	0.3154	0.4976	0.0273	0.3321	0.06654	0.9742	0.5	0.4068	0.3154	0.4976	0.0273	0.3321	0.06654	0.9742
TRANRFCR	0.2	0.1589	0.3133	0.3027	0.02011	0.4685	0.01486	0.8719	0.2	0.1589	0.3133	0.3027	0.02011	0.4685	0.01486	0.8719	0.2	0.1589	0.3133	0.3027	0.02011	0.4685	0.01486	0.8719
DELE	5e-04	0.000785	0.0004394	0.0006563	8.284e-08	0.4385	4.471e-05	0.001816	5e-04	0.000785	0.0004394	0.0006563	8.284e-08	0.4385	4.471e-05	0.001816	5e-04	0.000785	0.0004394	0.0006563	8.284e-08	0.4385	4.471e-05	0.001816
DELD	0.0148	0.08509	0.1017	0.08449	0.0006895	0.3108	0.03155	0.1645	0.0148	0.08509	0.1017	0.08449	0.0006895	0.3108	0.03155	0.1645	0.0148	0.08509	0.1017	0.08449	0.0006895	0.3108	0.03155	0.1645
