row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
LFWIDV	0.003	0.003288	0.004181	0.003477	1.868e-07	0.1243	0.002294	0.004723	0.003	0.003288	0.004181	0.003477	1.868e-07	0.1243	0.002294	0.004723	0.003	0.003288	0.004181	0.003477	1.868e-07	0.1243	0.002294	0.004723
NELLVM	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3
PHENCR	0.6	0.5233	0.3656	0.5866	0.01559	0.2129	0.2529	0.9553	0.6	0.5233	0.3656	0.5866	0.01559	0.2129	0.2529	0.9553	0.6	0.5233	0.3656	0.5866	0.01559	0.2129	0.2529	0.9553
PHY	100	116	114.3	112.6	73.23	0.076	79.39	129.6	100	116	114.3	112.6	73.23	0.076	79.39	129.6	100	116	114.3	112.6	73.23	0.076	79.39	129.6
RDRSCO	0.03	0.09372	0.07851	0.06476	0.0003218	0.277	0.025	0.127	0.03	0.09372	0.07851	0.06476	0.0003218	0.277	0.025	0.127	0.03	0.09372	0.07851	0.06476	0.0003218	0.277	0.025	0.127
RDRSMX	0.04	0.04621	0.06872	0.05413	0.0002497	0.2919	0.0151	0.1046	0.04	0.04621	0.06872	0.05413	0.0002497	0.2919	0.0151	0.1046	0.04	0.04621	0.06872	0.05413	0.0002497	0.2919	0.0151	0.1046
RDRTEM	0.0015	0.0007244	0.000788	0.0007948	4.407e-08	0.2641	0.000142	0.001456	0.0015	0.0007244	0.000788	0.0007948	4.407e-08	0.2641	0.000142	0.001456	0.0015	0.0007244	0.000788	0.0007948	4.407e-08	0.2641	0.000142	0.001456
RGENMX	0.01	0.009043	0.005497	0.009646	7.405e-06	0.2821	0.002221	0.01715	0.01	0.009043	0.005497	0.009646	7.405e-06	0.2821	0.002221	0.01715	0.01	0.009043	0.005497	0.009646	7.405e-06	0.2821	0.002221	0.01715
ROOTDM	0.2	0.4163	0.3573	0.3277	0.003958	0.192	0.1842	0.547	0.2	0.4163	0.3573	0.3277	0.003958	0.192	0.1842	0.547	0.2	0.4163	0.3573	0.3277	0.003958	0.192	0.1842	0.547
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	3.138	2.975	3.135	0.2427	0.1571	1.773	4.64	2.7	3.138	2.975	3.135	0.2427	0.1571	1.773	4.64	2.7	3.138	2.975	3.135	0.2427	0.1571	1.773	4.64
LSHAPE	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6
SIMAX1T	0.004	0.003804	0.004184	0.004285	3.54e-07	0.1389	0.002431	0.005866	0.004	0.003804	0.004184	0.004285	3.54e-07	0.1389	0.002431	0.005866	0.004	0.003804	0.004184	0.004285	3.54e-07	0.1389	0.002431	0.005866
SLAMAX	0.03	0.04145	0.04412	0.04115	1.038e-05	0.0783	0.03174	0.04915	0.03	0.04145	0.04412	0.04115	1.038e-05	0.0783	0.03174	0.04915	0.03	0.04145	0.04412	0.04115	1.038e-05	0.0783	0.03174	0.04915
TBASE	4.5	3.52	4.82	4.258	0.3787	0.1445	2.494	5.92	4.5	3.52	4.82	4.258	0.3787	0.1445	2.494	5.92	4.5	3.52	4.82	4.258	0.3787	0.1445	2.494	5.92
TCRES	2	2.23	1.751	1.937	0.07536	0.1417	1.506	2.876	2	2.23	1.751	1.937	0.07536	0.1417	1.506	2.876	2	2.23	1.751	1.937	0.07536	0.1417	1.506	2.876
TOPTGE	22	24.1	15.98	21.97	12.48	0.1608	10.85	29.41	22	24.1	15.98	21.97	12.48	0.1608	10.85	29.41	22	24.1	15.98	21.97	12.48	0.1608	10.85	29.41
TRANCO	8	8.916	7.177	7.985	3.027	0.2179	4.107	13.99	8	8.916	7.177	7.985	3.027	0.2179	4.107	13.99	8	8.916	7.177	7.985	3.027	0.2179	4.107	13.99
YG	0.64	0.6463	0.6513	0.6521	0.003579	0.09175	0.5094	0.8237	0.64	0.6463	0.6513	0.6521	0.003579	0.09175	0.5094	0.8237	0.64	0.6463	0.6513	0.6521	0.003579	0.09175	0.5094	0.8237
LAT	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77	-43.64	-43.64	-43.64	-43.64	0	0	-43.64	-43.64
WCI	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3
FWCAD	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05
FWCWP	0.3	0.3143	0.2327	0.2745	0.002684	0.1887	0.1215	0.45	0.3	0.2891	0.3361	0.3228	0.002825	0.1646	0.183	0.4736	0.3	0.2274	0.3087	0.2514	0.00226	0.1891	0.1243	0.4282
FWCFC	0.6	0.6359	0.6613	0.6504	0.002418	0.0756	0.5103	0.8351	0.6	0.7254	0.7565	0.7344	0.003133	0.07621	0.5714	0.8986	0.6	0.649	0.5976	0.6292	0.001813	0.06767	0.4973	0.7603
FWCWET	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95
WCST	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55
WpoolMax	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
Dparam	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318
FGAS	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4
FO2MX	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21
KTSNOW	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65
Hparam	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592
KRDRANAER	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
KRESPHARD	0.01	0.01222	0.009287	0.01144	3.51e-05	0.518	0.00103	0.03345	0.01	0.01222	0.009287	0.01144	3.51e-05	0.518	0.00103	0.03345	0.01	0.01222	0.009287	0.01144	3.51e-05	0.518	0.00103	0.03345
KRSR3H	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
KRTOTAER	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
KSNOW	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800
LDT50A	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34
LDT50B	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113
LT50MN	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68
LT50MX	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
RATEDMX	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
reHardRedDay	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145
RHOnewSnow	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100
RHOpack	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
THARDMX	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71
TmeltFreeze	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrainSnow	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TsurfDiff	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228
KLUETILG	0.5	0.3341	0.3676	0.4839	0.0282	0.347	0.06566	0.9571	0.5	0.3341	0.3676	0.4839	0.0282	0.347	0.06566	0.9571	0.5	0.3341	0.3676	0.4839	0.0282	0.347	0.06566	0.9571
FRTILGG1I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAYLG1G2	0.575	0.5684	0.5636	0.5722	7.838e-05	0.01547	0.5526	0.5977	0.575	0.5684	0.5636	0.5722	7.838e-05	0.01547	0.5526	0.5977	0.575	0.5684	0.5636	0.5722	7.838e-05	0.01547	0.5526	0.5977
RGRTG1G2	0.1	0.1882	0.03331	0.1217	0.009435	0.7983	0.00223	0.5522	0.1	0.1882	0.03331	0.1217	0.009435	0.7983	0.00223	0.5522	0.1	0.1882	0.03331	0.1217	0.009435	0.7983	0.00223	0.5522
RDRTMIN	0.005	0.005282	0.005805	0.005835	6.032e-06	0.4209	0.0002331	0.0154	0.005	0.005282	0.005805	0.005835	6.032e-06	0.4209	0.0002331	0.0154	0.005	0.005282	0.005805	0.005835	6.032e-06	0.4209	0.0002331	0.0154
TVERN	4	4.498	4.782	4.702	0.3784	0.1308	3.028	6.508	4	4.498	4.782	4.702	0.3784	0.1308	3.028	6.508	4	4.498	4.782	4.702	0.3784	0.1308	3.028	6.508
TVERND	21	18.34	23.14	21.3	5.049	0.1055	15.08	26.69	21	18.34	23.14	21.3	5.049	0.1055	15.08	26.69	21	18.34	23.14	21.3	5.049	0.1055	15.08	26.69
RDRSTUB	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
LERGB	1.75	2.365	1.637	1.874	0.1935	0.2347	0.6601	2.974	1.75	2.365	1.637	1.874	0.1935	0.2347	0.6601	2.974	1.75	2.365	1.637	1.874	0.1935	0.2347	0.6601	2.974
RDRROOT	0.003	0.004619	0.004353	0.003883	2.631e-07	0.1321	0.001932	0.004972	0.003	0.004619	0.004353	0.003883	2.631e-07	0.1321	0.001932	0.004972	0.003	0.004619	0.004353	0.003883	2.631e-07	0.1321	0.001932	0.004972
DAYLA	0.5	0.4467	0.4571	0.4349	0.0002977	0.03967	0.4026	0.506	0.5	0.4467	0.4571	0.4349	0.0002977	0.03967	0.4026	0.506	0.5	0.4467	0.4571	0.4349	0.0002977	0.03967	0.4026	0.506
DAYLRV	0.55	0.5149	0.5019	0.5351	0.0009114	0.05642	0.4229	0.5974	0.55	0.5149	0.5019	0.5351	0.0009114	0.05642	0.4229	0.5974	0.55	0.5149	0.5019	0.5351	0.0009114	0.05642	0.4229	0.5974
FCOCRESMN	0.5	0.2465	0.2411	0.2588	0.005125	0.2767	0.111	0.5273	0.5	0.2465	0.2411	0.2588	0.005125	0.2767	0.111	0.5273	0.5	0.2465	0.2411	0.2588	0.005125	0.2767	0.111	0.5273
KCRT	10	4.196	2.78	9.748	26.83	0.5314	1.011	29.01	10	4.196	2.78	9.748	26.83	0.5314	1.011	29.01	10	4.196	2.78	9.748	26.83	0.5314	1.011	29.01
VERNDI	20	21.79	5.62	25.58	240.7	0.6064	0.7854	82.15	20	35.84	49.92	28.71	234.1	0.5328	0.8972	72.79	20	14.62	25.5	28.2	215.1	0.5201	0.497	79.54
LERVA	-1.13	-7.511	-8.024	-5.859	2.441	0.2667	-9.647	-0.5629	-1.13	-7.511	-8.024	-5.859	2.441	0.2667	-9.647	-0.5629	-1.13	-7.511	-8.024	-5.859	2.441	0.2667	-9.647	-0.5629
LERVB	0.75	1.351	1.183	1.417	0.0396	0.1404	0.9056	2.235	0.75	1.351	1.183	1.417	0.0396	0.1404	0.9056	2.235	0.75	1.351	1.183	1.417	0.0396	0.1404	0.9056	2.235
LERGA	-8.21	-5.021	-5.8	-6.182	5.152	0.3672	-9.938	0.9491	-8.21	-5.021	-5.8	-6.182	5.152	0.3672	-9.938	0.9491	-8.21	-5.021	-5.8	-6.182	5.152	0.3672	-9.938	0.9491
RDRTILMIN	0.00074	0.0007916	0.0008584	0.0008583	8.616e-08	0.342	0.0001234	0.001801	0.00074	0.0007916	0.0008584	0.0008583	8.616e-08	0.342	0.0001234	0.001801	0.00074	0.0007916	0.0008584	0.0008583	8.616e-08	0.342	0.0001234	0.001801
RDRHARVMAX	0.05	0.04255	0.04573	0.05143	0.0002734	0.3215	0.001841	0.09303	0.05	0.04255	0.04573	0.05143	0.0002734	0.3215	0.001841	0.09303	0.05	0.04255	0.04573	0.05143	0.0002734	0.3215	0.001841	0.09303
FGRESSI	0.5	0.3875	0.3159	0.3521	0.005026	0.2014	0.2102	0.5926	0.5	0.3875	0.3159	0.3521	0.005026	0.2014	0.2102	0.5926	0.5	0.3875	0.3159	0.3521	0.005026	0.2014	0.2102	0.5926
BD	1.2	1.158	1.19	1.192	0.006663	0.06849	0.9533	1.394	1.2	1.236	1.264	1.181	0.007292	0.07233	0.9331	1.387	1.2	1.175	0.9898	1.182	0.007624	0.07385	0.9509	1.398
HARVFRD	0.2	0.185	0.1848	0.2146	0.002268	0.2219	0.1033	0.3798	0.2	0.185	0.1848	0.2146	0.002268	0.2219	0.1033	0.3798	0.2	0.185	0.1848	0.2146	0.002268	0.2219	0.1033	0.3798
EBIOMAX	131	131	131	131	0	0	131	131	131	131	131	131	0	0	131	131	131	131	131	131	0	0	131	131
KTIL	3000	4752	4901	4344	113200	0.07743	3316	4968	3000	4752	4901	4344	113200	0.07743	3316	4968	3000	4752	4901	4344	113200	0.07743	3316	4968
RDRWMAX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BASALI	0.9	0.7769	0.8974	0.7846	0.006786	0.105	0.5735	0.9854	0.9	0.8904	0.947	0.8405	0.004665	0.08126	0.6245	0.9957	0.9	0.8687	0.8752	0.8781	0.003608	0.06841	0.6446	0.999
ABASAL	0.001	0.004019	0.005058	0.002949	1.015e-06	0.3415	0.00041	0.006096	0.001	0.004019	0.005058	0.002949	1.015e-06	0.3415	0.00041	0.006096	0.001	0.004019	0.005058	0.002949	1.015e-06	0.3415	0.00041	0.006096
TVERNDMN	7	6.294	10.91	6.608	5.883	0.3671	0.6507	12.81	7	6.294	10.91	6.608	5.883	0.3671	0.6507	12.81	7	6.294	10.91	6.608	5.883	0.3671	0.6507	12.81
DAYLGEMN	0.5	0.2928	0.6679	0.4646	0.0301	0.3734	0.02883	0.9787	0.5	0.2928	0.6679	0.4646	0.0301	0.3734	0.02883	0.9787	0.5	0.2928	0.6679	0.4646	0.0301	0.3734	0.02883	0.9787
RGRSTUB	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
DELE	5e-04	0.000693	0.001123	0.0007034	1.054e-07	0.4615	1.038e-05	0.001623	5e-04	0.000693	0.001123	0.0007034	1.054e-07	0.4615	1.038e-05	0.001623	5e-04	0.000693	0.001123	0.0007034	1.054e-07	0.4615	1.038e-05	0.001623
DELD	0.0148	0.1267	0.1011	0.1063	0.0004113	0.1908	0.04997	0.166	0.0148	0.1267	0.1011	0.1063	0.0004113	0.1908	0.04997	0.166	0.0148	0.1267	0.1011	0.1063	0.0004113	0.1908	0.04997	0.166
